,season,year,month,holiday,weekday,workingday,weather,temp,humdity,windspeed,count
0,1,0,3,0,5,1,1,0.54,0.525217,0.231017,4152.67
1,1,0,3,0,6,0,1,0.4725,0.37916700000000003,0.368167,3192.77
2,1,0,3,0,0,0,1,0.3325,0.47375,0.20772100000000002,2111.08
3,2,0,4,0,1,1,2,0.430435,0.737391,0.288783,2208.35
4,2,0,4,0,2,1,1,0.44166700000000003,0.624583,0.22575,3032.99
5,2,0,4,0,3,1,2,0.346957,0.839565,0.23426100000000002,2011.51
6,3,0,9,0,2,1,2,0.561667,0.88125,0.134954,4141.41
7,3,0,9,0,3,1,2,0.595,0.9,0.0964042,4255.78
8,3,0,9,0,4,1,2,0.628333,0.902083,0.128125,4247.52
9,4,0,9,0,5,1,2,0.609167,0.9725,0.0783667,4204.86
10,4,0,9,0,6,0,2,0.606667,0.8625,0.0783833,4987.45
11,4,0,9,0,0,0,2,0.634167,0.845,0.0503792,4857.35
12,4,0,12,0,6,0,2,0.258333,0.560833,0.243167,2874.91
13,4,0,12,0,0,0,1,0.238333,0.58625,0.16977899999999999,2621.31
14,4,0,12,0,1,1,1,0.276667,0.6375,0.172896,3331.37
15,4,0,12,0,2,1,2,0.385833,0.595417,0.06157080000000001,3733.5
16,1,0,12,0,3,1,2,0.428333,0.858333,0.2214,2575.53
17,1,0,12,0,4,1,2,0.423333,0.7575,0.047275,2895.8
18,1,0,12,0,5,1,1,0.37333299999999997,0.68625,0.274246,2092.31
19,1,0,12,0,6,0,1,0.3025,0.5425,0.190304,1297.07
20,1,0,12,0,0,0,1,0.274783,0.681304,0.155091,1061.51
21,1,0,12,1,1,0,1,0.321739,0.506957,0.239465,1666.73
22,1,0,12,0,2,1,2,0.325,0.7625,0.18845,1558.48
23,1,0,12,0,3,1,1,0.29913,0.503913,0.29396100000000003,1452.91
24,1,0,12,0,4,1,1,0.248333,0.574167,0.11941199999999999,1549.18
25,1,0,12,0,5,1,1,0.311667,0.636667,0.13433699999999998,1660.87
26,1,0,12,0,6,0,1,0.41,0.615833,0.220154,2405.33
27,1,1,1,0,0,0,1,0.37,0.6925,0.192167,2842.52
28,1,1,1,1,1,0,1,0.273043,0.381304,0.329665,3091.98
29,1,1,1,0,2,1,1,0.15,0.44125,0.365671,2269.86
30,1,1,1,0,3,1,2,0.1075,0.414583,0.1847,2563.01
31,1,1,1,0,4,1,1,0.265833,0.524167,0.129987,3478.81
32,1,1,1,0,5,1,1,0.334167,0.542083,0.167908,4070.63
33,1,1,1,0,6,0,1,0.393333,0.531667,0.174758,4461.51
34,1,1,1,0,0,0,1,0.3375,0.465,0.19154200000000002,3399.48
35,1,1,1,0,1,1,2,0.224167,0.701667,0.0989,2637.72
36,1,1,1,0,2,1,1,0.308696,0.646522,0.187552,3697.78
37,1,1,1,0,3,1,2,0.274167,0.8475,0.131221,2344.23
38,1,1,1,0,4,1,2,0.3825,0.802917,0.18096700000000002,3826.53
39,1,1,1,0,5,1,1,0.274167,0.5075,0.378108,3006.94
40,1,1,1,0,6,0,1,0.18,0.4575,0.187183,2452.39
41,1,1,1,0,0,0,1,0.166667,0.419167,0.251258,2228.83
42,1,1,1,1,1,0,1,0.19,0.5225,0.23135799999999998,2311.34
43,1,1,1,0,2,1,2,0.37304299999999996,0.716087,0.34913,3129.1
44,1,1,1,0,3,1,1,0.303333,0.443333,0.415429,3412.92
45,1,1,1,0,4,1,1,0.19,0.4975,0.220158,2870.29
46,1,1,1,0,5,1,2,0.2175,0.45,0.20275,2971.07
47,1,1,1,0,6,0,2,0.173333,0.83125,0.222642,1477.8
48,1,1,1,0,0,0,2,0.1625,0.79625,0.199638,1614.29
49,1,1,1,0,1,1,2,0.218333,0.91125,0.11070799999999999,1669.46
50,1,1,1,0,2,1,1,0.3425,0.835833,0.123767,3862.32
51,1,1,1,0,3,1,1,0.294167,0.64375,0.161071,3999.97
52,1,1,1,0,4,1,2,0.341667,0.769583,0.07339580000000001,3689.97
53,1,1,1,0,5,1,2,0.425,0.74125,0.342667,3497.86
54,1,1,1,0,6,0,1,0.315833,0.543333,0.210829,3934.17
55,1,1,1,0,0,0,1,0.2825,0.31125,0.24005,3327.47
56,1,1,1,0,1,1,1,0.269167,0.400833,0.215792,3465.33
57,1,1,1,0,2,1,1,0.39,0.416667,0.261817,4469.21
58,1,1,2,0,3,1,1,0.469167,0.507917,0.189067,6471.8
59,1,1,2,0,4,1,2,0.399167,0.672917,0.187187,3732.51
60,1,1,2,0,5,1,1,0.313333,0.526667,0.17849600000000002,4064.99
61,1,1,2,0,6,0,2,0.264167,0.779583,0.121896,2544.36
62,1,1,2,0,0,0,2,0.265833,0.687917,0.175996,2786.06
63,1,1,2,0,1,1,1,0.282609,0.622174,0.1538,3884.05
64,1,1,2,0,2,1,1,0.354167,0.49625,0.147379,4272.77
65,1,1,2,0,3,1,2,0.25666700000000003,0.722917,0.133721,2703.51
66,1,1,2,0,4,1,1,0.265,0.562083,0.194037,3591.68
